index_i,index_j,SellCurr, SellAmt, BuyCurr, BuyAmt, Rate
7,11,8,27.0,16,2.0,13.5
7,11,16,4.0,8,74.0,0.054054055
7,13,8,121.0,45,10.0,12.1
7,14,8,16.0,46,1.0,16.0
8,9,11,33.0,10,49.0,0.67346936
8,10,10,9.0,13,6.0,1.5
8,10,13,5.0,10,13.0,0.3846154
8,11,10,60.0,16,20.0,3.0
8,11,16,5.0,10,21.0,0.23809524
9,10,11,7.0,13,5.0,1.4
9,10,13,4.0,11,10.0,0.4
9,11,11,31.0,16,11.0,2.8181818
9,11,16,5.0,11,22.0,0.22727273
10,11,13,15.0,16,10.0,1.5
10,11,16,5.0,13,11.0,0.45454547
10,13,13,1.0,45,1.0,1.0
10,14,13,1.0,46,1.0,1.0
